type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_variation_option_Size,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_media_gallery_image_url_20
product,851,35.46,Ecologische herentrui met V-hals,"50% katoen / 50% polyester. Gemaakt van 50% biologisch katoen en 50% gerecycleerd polyester post-consumer. Gauge 12. Fully Fashion breiwerk. Fitted pasvorm. Ingezette mouwen. V-hals met 1x1 ribboord met een dun, contrasterend streepje van 3 mm aan de binnenkant van de kraag. 1x1 ribboord aan de mouwuiteinden en onderaan. Tear-away merklabel.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=252396&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kariban,Kleding,Pullover/Cardigan/Gilet,https://media.europeancatalog.com/ws.php?act=download&mamfileid=252396&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=252391&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=252395&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=252398&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=252392&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=252394&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=252393&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=252397&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=252399&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=372375&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=372374&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,
product_option,851,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,851,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,851,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,851,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,851,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,851,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,851,,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,851,,,,,,,,,,,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,851,,,,,,,,,,,,,,,,,,,,,Color,Light grey heather,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,851,,,,,,,,,,,,,,,,,,,,,Color,Navy,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74038_74031,Black,,,,,S,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74038_74032,Black,,,,,M,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74038_74033,Black,,,,,L,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74038_74034,Black,,,,,XL,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74038_74035,Black,,,,,XXL,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74038_74036,Black,,,,,3XL,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74038_74037,Black,,,,,4XL,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74039_74031,Light grey heather,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74039_74032,Light grey heather,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74039_74033,Light grey heather,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74039_74034,Light grey heather,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74039_74035,Light grey heather,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74039_74036,Light grey heather,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74039_74037,Light grey heather,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74040_74031,Navy,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74040_74032,Navy,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74040_74033,Navy,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74040_74034,Navy,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74040_74035,Navy,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74040_74036,Navy,,,,,,,,,,,,,,
product_variation,851,35.46,,,,,,,,,,,,,,,,,,K980_74040_74037,Navy,,,,,,,,,,,,,,
product,852,36.14,"Casual, trendy rugzak","100% polyamide Trendy rugzak voor dagelijks gebruik. Klep met bovenvak en universeel scharnier met haakje. Schuifsluiting binnenin.   Personaliseerbare voorzak. Opening met rits aan de achterkant en antidiefstalbeveiliging.  Ritszakken in mesh binnenin. In de rugzak, bevestigd met drukknopen, zit een zakje.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=277841&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Kimood,Tassen,Tas,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277841&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263281&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=277850&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263362&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263360&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263361&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=331265&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263092&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=263090&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,,,,
product_option,852,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,852,,,,,,,,,,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,852,,,,,,,,,,,,,,,,,,,,,Color,Light charcoal,RADIOBUTTONS,TRUE,,,,,,,,,,
product_option,852,,,,,,,,,,,,,,,,,,,,,Color,Red Safran,RADIOBUTTONS,TRUE,,,,,,,,,,
product_variation,852,36.14,,,,,,,,,,,,,,,,,,KI0175_74044_74043,Black,,,,,One Size,,,,,,,,,
product_variation,852,36.14,,,,,,,,,,,,,,,,,,KI0175_74045_74043,Light charcoal,,,,,,,,,,,,,,
product_variation,852,36.14,,,,,,,,,,,,,,,,,,KI0175_74046_74043,Red Safran,,,,,,,,,,,,,,
