type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5
product,351,19.56,Pet in gerecycled Twillpolyester,98% gerecycled polyester / 2% PU spandex. Gerecycled twillpolyester. Voorgevormde zonneklep met decoratieve naden. Verstelbaar met een klassieke drukknoopsluiting.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=203375&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,FLEXFIT,Headwear & Accessoires,Cap,https://media.europeancatalog.com/ws.php?act=download&mamfileid=203375&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=203376&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,
product_option,351,,,,,,,,,,,,Color,BLACK,RADIOBUTTONS,TRUE,,,
product_option,351,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,
product_option,351,,,,,,,,,,,,Color,NAVY,RADIOBUTTONS,TRUE,,,
product_variation,351,19.56,,,,,,,,,FL7706RS_71032_71118,BLACK,,,,,,,
product_variation,351,19.56,,,,,,,,,FL7706RS_71033_71118,NAVY,,,,,,,
product,352,14.96,Klassieke afgeronde pet Snapback,60% katoen / 40% polyester. De afgeronde Snapback Classic heeft een verstevigde kant en een bijpassende plastic sluiting. De gebogen zonneklep verleent het design een frisse toets en de pet een ontspannen look. Eenvoudig en sportief.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391079&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,FLEXFIT,Headwear & Accessoires,Helm,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391079&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,
product_option,352,,,,,,,,,,,,Color,BLACK,RADIOBUTTONS,TRUE,,,
product_option,352,,,,,,,,,,,,Size,One Size,RADIOBUTTONS,TRUE,,,
product_option,352,,,,,,,,,,,,Color,BUCK,RADIOBUTTONS,TRUE,,,
product_option,352,,,,,,,,,,,,Color,CHARCOAL,RADIOBUTTONS,TRUE,,,
product_option,352,,,,,,,,,,,,Color,HEATHER GREY,RADIOBUTTONS,TRUE,,,
product_option,352,,,,,,,,,,,,Color,KHAKI,RADIOBUTTONS,TRUE,,,
product_option,352,,,,,,,,,,,,Color,MAROON,RADIOBUTTONS,TRUE,,,
product_option,352,,,,,,,,,,,,Color,NAVY,RADIOBUTTONS,TRUE,,,
product_option,352,,,,,,,,,,,,Color,PINK,RADIOBUTTONS,TRUE,,,
product_option,352,,,,,,,,,,,,Color,RED,RADIOBUTTONS,TRUE,,,
product_option,352,,,,,,,,,,,,Color,WHITE,RADIOBUTTONS,TRUE,,,
product_variation,352,14.96,,,,,,,,,FL7706_78044_78043,BLACK,,,,,,,
