type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_11,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_variation_option_Size,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18
product,1651,29.3,Lichte herenpullover,100 % biologisch katoen<br/>S > 3XL<br/>Gekamd katoen.<br/>Gauge 14.<br/>Fitted pasvorm.<br/>Onafgewerkt boord aan de halsopening en de mouwuiteinden.<br/>Gemiddeld gewicht in maat L : 190g.,https://media.europeancatalog.com/ws.php?act=download&mamfileid=408826&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Native Spirit,Kleding,Pullover/Cardigan/Gilet,https://media.europeancatalog.com/ws.php?act=download&mamfileid=408826&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=408834&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=408829&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206737&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206736&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206733&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206734&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206735&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=206740&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=203646&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,,,,,
product_option,1651,,,,,,,,,,,,,,,,,,,,Color,Moon Grey Heather,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,1651,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,1651,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,1651,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,1651,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,1651,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,1651,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,1651,,,,,,,,,,,,,,,,,,,,Color,Navy Blue,RADIOBUTTONS,TRUE,,,,,,,,,
product_option,1651,,,,,,,,,,,,,,,,,,,,Color,Wet Sand,RADIOBUTTONS,TRUE,,,,,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68975_68969,Moon Grey Heather,,,,,,,,S,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68975_68970,Moon Grey Heather,,,,,,,,M,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68975_68971,Moon Grey Heather,,,,,,,,L,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68975_68972,Moon Grey Heather,,,,,,,,XL,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68975_68973,Moon Grey Heather,,,,,,,,XXL,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68975_68974,Moon Grey Heather,,,,,,,,3XL,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68976_68969,Navy Blue,,,,,,,,,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68976_68970,Navy Blue,,,,,,,,,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68976_68971,Navy Blue,,,,,,,,,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68976_68972,Navy Blue,,,,,,,,,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68976_68973,Navy Blue,,,,,,,,,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68976_68974,Navy Blue,,,,,,,,,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68977_68969,Wet Sand,,,,,,,,,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68977_68970,Wet Sand,,,,,,,,,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68977_68971,Wet Sand,,,,,,,,,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68977_68972,Wet Sand,,,,,,,,,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68977_68973,Wet Sand,,,,,,,,,,,,,
product_variation,1651,29.3,,,,,,,,,,,,,,,,,NS900_68977_68974,Wet Sand,,,,,,,,,,,,,
