type,product_internal_id,product_price,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_variation_sku,product_variation_option_Color,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_variation_option_Size,product_media_gallery_image_url_5,product_media_gallery_image_url_6
product,2351,11.04,Herenpolo Original,"100% katoen. (Heather Grey: 97% katoen / 3% polyester). Polo in piquétricot. Nauwsluitende snit. Zijnaden. Lijst met 2 knopen. Ton-sur-ton knopen. Afwerking zonder ribboord. Geen zijsplit. Afneembaar etiket.  Gecertificeerd STANDARD 100 by OEKO-TEX®N° 08-5295, Shirley.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=391133&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Fruit of the Loom,Kleding,Polo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391133&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=391134&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,
product_option,2351,,,,,,,,,,,,Color,Azur Blue,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Color,Burgundy,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Color,Deep Navy,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Color,Heather Grey,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Color,Light Graphite,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Color,Sky Blue,RADIOBUTTONS,TRUE,,,,,
product_option,2351,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70395_70383,Azur Blue,,,,,,,S,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70395_70386,Azur Blue,,,,,,,M,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70395_70387,Azur Blue,,,,,,,L,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70395_70390,Azur Blue,,,,,,,XL,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70395_70391,Azur Blue,,,,,,,XXL,,
product_variation,2351,13,,,,,,,,,SC63050CX_70396_70394,Azur Blue,,,,,,,3XL,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70398_70383,Black,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70398_70386,Black,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70398_70387,Black,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70398_70390,Black,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70398_70391,Black,,,,,,,,,
product_variation,2351,13,,,,,,,,,SC63050CX_70397_70394,Black,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70399_70383,Burgundy,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70399_70386,Burgundy,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70399_70387,Burgundy,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70399_70390,Burgundy,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70399_70391,Burgundy,,,,,,,,,
product_variation,2351,13,,,,,,,,,SC63050CX_70400_70394,Burgundy,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70402_70383,Deep Navy,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70402_70386,Deep Navy,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70402_70387,Deep Navy,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70402_70390,Deep Navy,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70402_70391,Deep Navy,,,,,,,,,
product_variation,2351,13,,,,,,,,,SC63050CX_70401_70394,Deep Navy,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70403_70383,Heather Grey,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70403_70386,Heather Grey,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70403_70387,Heather Grey,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70403_70390,Heather Grey,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70403_70391,Heather Grey,,,,,,,,,
product_variation,2351,13,,,,,,,,,SC63050CX_70404_70394,Heather Grey,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70406_70383,Light Graphite,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70406_70386,Light Graphite,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70406_70387,Light Graphite,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70406_70390,Light Graphite,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70406_70391,Light Graphite,,,,,,,,,
product_variation,2351,13,,,,,,,,,SC63050CX_70405_70394,Light Graphite,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70407_70383,Red,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70407_70386,Red,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70407_70387,Red,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70407_70390,Red,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70407_70391,Red,,,,,,,,,
product_variation,2351,13,,,,,,,,,SC63050CX_70408_70394,Red,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70410_70383,Royal Blue,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70410_70386,Royal Blue,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70410_70387,Royal Blue,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70410_70390,Royal Blue,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70410_70391,Royal Blue,,,,,,,,,
product_variation,2351,13,,,,,,,,,SC63050CX_70409_70394,Royal Blue,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70411_70383,Sky Blue,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70411_70386,Sky Blue,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70411_70387,Sky Blue,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70411_70390,Sky Blue,,,,,,,,,
product_variation,2351,11.04,,,,,,,,,SC63050C_70411_70391,Sky Blue,,,,,,,,,
product_variation,2351,13,,,,,,,,,SC63050CX_70412_70394,Sky Blue,,,,,,,,,
product_variation,2351,9.38,,,,,,,,,SC63050_70414_70384,White,,,,,,,,,
product_variation,2351,9.38,,,,,,,,,SC63050_70414_70385,White,,,,,,,,,
product_variation,2351,9.38,,,,,,,,,SC63050_70414_70388,White,,,,,,,,,
product_variation,2351,9.38,,,,,,,,,SC63050_70414_70389,White,,,,,,,,,
product_variation,2351,9.38,,,,,,,,,SC63050_70414_70392,White,,,,,,,,,
product_variation,2351,10.82,,,,,,,,,SC63050X_70413_70393,White,,,,,,,,,
product,2352,14.04,Damespolo Premium,"100% katoen. (Heather Grey: 97% katoen / 3% polyester). Piquékatoen. Zijnaden voor een getailleerde, vrouwelijke snit. Smalle lijst met twee ton-sur-ton knopen. Zijsplitten. Gecertificeerd STANDARD 100 by OEKO-TEX®N° 08-5295, Shirley.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=400871&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,Fruit of the Loom,Kleding,Polo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=400871&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=400875&token=fEP6GP8lqVnvHdxFnIg93eaQ3FTQOo,,,,,,,,,,,
product_option,2352,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,
product_option,2352,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,
product_option,2352,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,
product_option,2352,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,
product_option,2352,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,
product_option,2352,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,
product_option,2352,,,,,,,,,,,,Color,Burgundy,RADIOBUTTONS,TRUE,,,,,
product_option,2352,,,,,,,,,,,,Color,Deep Navy,RADIOBUTTONS,TRUE,,,,,
product_option,2352,,,,,,,,,,,,Color,Heather Grey,RADIOBUTTONS,TRUE,,,,,
product_option,2352,,,,,,,,,,,,Color,Light Pink,RADIOBUTTONS,TRUE,,,,,
product_option,2352,,,,,,,,,,,,Color,Red,RADIOBUTTONS,TRUE,,,,,
product_option,2352,,,,,,,,,,,,Color,Royal Blue,RADIOBUTTONS,TRUE,,,,,
product_option,2352,,,,,,,,,,,,Color,White,RADIOBUTTONS,TRUE,,,,,
product_variation,2352,14.04,,,,,,,,,SC63030_70373_70368,Black,,,,,,,S,,
product_variation,2352,14.04,,,,,,,,,SC63030_70373_70369,Black,,,,,,,M,,
product_variation,2352,14.04,,,,,,,,,SC63030_70373_70370,Black,,,,,,,L,,
