type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23
product,JMWfyjuET7lYi03j,Piqué-herenpolo Bio180,"100% katoen. Deze piquépolo werd gemaakt van 100% biologisch gekamd katoen. Rechte snit. Kraag en mouwuiteinden in 1x1 ribboord. Knooplijst met 2 toon op toon knopen. Nektape in de binnenzijde van de kraag en zijsplitten. Zijnaden. Afwerking met dubbel stiksel aan de onderkant. Geen merklabel in de kraag, maar enkel een maatlabel voor eenvoudige personalisatie. Gecertificeerd STANDARD 100 by OEKO-TEX® N° CQ 1007/7, IFTH.",https://media.europeancatalog.com/ws.php?act=download&mamfileid=201344&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Kariban,Kleding,Polo,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201344&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201345&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201342&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201341&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201340&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201339&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201338&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201343&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=201346&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=406393&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=406392&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,
product_option,JMWfyjuET7lYi03j,,,,,,,,,,,,,,,,,,,,,,Color,Black,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,JMWfyjuET7lYi03j,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,JMWfyjuET7lYi03j,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,JMWfyjuET7lYi03j,,,,,,,,,,,,,,,,,,,,,,Size,L,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,JMWfyjuET7lYi03j,,,,,,,,,,,,,,,,,,,,,,Size,XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,JMWfyjuET7lYi03j,,,,,,,,,,,,,,,,,,,,,,Size,XXL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,JMWfyjuET7lYi03j,,,,,,,,,,,,,,,,,,,,,,Size,3XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,JMWfyjuET7lYi03j,,,,,,,,,,,,,,,,,,,,,,Size,4XL,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,JMWfyjuET7lYi03j,,,,,,,,,,,,,,,,,,,,,,Color,Dark Grey,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,JMWfyjuET7lYi03j,,,,,,,,,,,,,,,,,,,,,,Size,S,RADIOBUTTONS,TRUE,,,,,,,,,,,,
product_option,JMWfyjuET7lYi03j,,,,,,,,,,,,,,,,,,,,,,Size,M,RADIOBUTTONS,TRUE,,,,,,,,,,,,
