type,product_internal_id,product_name,product_description,product_media_main_image_url,product_brand,product_category_1,product_category_2,product_media_gallery_image_url_1,product_media_gallery_image_url_2,product_media_gallery_image_url_3,product_media_gallery_image_url_4,product_media_gallery_image_url_5,product_media_gallery_image_url_6,product_media_gallery_image_url_7,product_media_gallery_image_url_8,product_media_gallery_image_url_9,product_media_gallery_image_url_10,product_media_gallery_image_url_11,product_variation_sku,product_price,product_variation_option_Color,product_variation_option_Size,product_option_name,product_option_value,product_option_type,product_option_is_required,product_media_gallery_image_url_12,product_media_gallery_image_url_13,product_media_gallery_image_url_14,product_media_gallery_image_url_15,product_media_gallery_image_url_16,product_media_gallery_image_url_17,product_media_gallery_image_url_18,product_media_gallery_image_url_19,product_media_gallery_image_url_20,product_media_gallery_image_url_21,product_media_gallery_image_url_22,product_media_gallery_image_url_23,product_media_gallery_image_url_24,product_media_gallery_image_url_25,product_media_gallery_image_url_26,product_media_gallery_image_url_27,product_media_gallery_image_url_28,product_media_gallery_image_url_29
product,kl54feZBLFziadN8,Damesjeans Carol straight,"Rechte, klassieke jeans met een hoge, comfortabele taille die het figuur beter tot zijn recht laat komen. Gemaakt van donker, gemarmerd denim met comfortabele stretch. Op de broekspijp zit een lichte slijtplek. Goudkleurige naden en gulp met rits.<br/>Kleur Dark roberto: 94,5% katoen / 4,5% polyester / 1% elasthan. <br/>Kleur Mid soho: 99% katoen / 1% elasthan.<br/>",https://media.europeancatalog.com/ws.php?act=download&mamfileid=368624&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,Lee,Kleding,Jean,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368624&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368620&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368607&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368622&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368609&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368613&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368610&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368617&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368615&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368612&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,https://media.europeancatalog.com/ws.php?act=download&mamfileid=368618&token=9P7kPRxcoPhe5Gakg4JAu4XUKTAvLl,,,,,,,,,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Color,Dark Ruby,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W27/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W28/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W28/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W29/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W29/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W30/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W30/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W31/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W31/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W32/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W32/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W33/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Color,Mid soho,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W27/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W28/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W28/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W29/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W29/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W30/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W30/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W31/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W31/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W32/L31,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W32/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_option,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,,,,,Size,W33/L33,RADIOBUTTONS,TRUE,,,,,,,,,,,,,,,,,,
product_variation,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,L30UC_78177_78165,109.68,Dark Ruby,W27/L31,,,,,,,,,,,,,,,,,,,,,,
product_variation,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,L30UC_78177_78166,109.68,Dark Ruby,W28/L31,,,,,,,,,,,,,,,,,,,,,,
product_variation,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,L30UC_78177_78167,109.68,Dark Ruby,W28/L33,,,,,,,,,,,,,,,,,,,,,,
product_variation,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,L30UC_78177_78168,109.68,Dark Ruby,W29/L31,,,,,,,,,,,,,,,,,,,,,,
product_variation,kl54feZBLFziadN8,,,,,,,,,,,,,,,,,,L30UC_78177_78169,109.68,Dark Ruby,W29/L33,,,,,,,,,,,,,,,,,,,,,,
